date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
10/1/2017,2017,0,0,DEN,OAK,1563.547943,1539.307913,0.625675057,16,10,1
10/1/2017,2017,0,0,SEA,IND,1537.74466,1462.364174,0.69170342,46,18,1
10/2/2017,2017,0,0,KC,WSH,1677.410417,1525.659019,0.776905165,29,20,1
10/5/2017,2017,0,0,TB,NE,1502.976977,1646.23325,0.389246809,14,19,0
10/8/2017,2017,0,0,IND,SF,1442.847034,1314.285061,0.752917297,26,23,1
10/8/2017,2017,0,0,MIA,TEN,1460.330403,1461.205894,0.591248824,16,10,1
10/8/2017,2017,0,0,PHI,ARI,1549.869753,1505.727213,0.652098212,34,7,1
10/8/2017,2017,0,0,NYG,LAC,1462.622977,1398.233708,0.678049941,22,27,0
10/8/2017,2017,0,0,CLE,NYJ,1289.832752,1461.134047,0.351621472,14,17,0
10/8/2017,2017,0,0,PIT,JAX,1613.877671,1438.745177,0.799362342,9,30,0
10/8/2017,2017,0,0,CIN,BUF,1474.003552,1547.629174,0.487589282,20,16,1
10/8/2017,2017,0,0,DET,CAR,1565.326231,1535.875638,0.632673019,24,27,0
10/8/2017,2017,0,0,OAK,BAL,1525.307756,1459.981316,0.679226481,17,30,0
10/8/2017,2017,0,0,LAR,SEA,1459.610942,1557.261801,0.453149478,10,16,0
10/8/2017,2017,0,0,DAL,GB,1556.505381,1601.333706,0.528996801,31,35,0
10/8/2017,2017,0,0,HOU,KC,1500.77632,1686.762878,0.332598754,34,42,0
10/9/2017,2017,0,0,CHI,MIN,1382.325332,1501.530406,0.422619442,17,20,0
10/12/2017,2017,0,0,CAR,PHI,1554.20393,1571.959474,0.567574252,23,28,0
10/15/2017,2017,0,0,NO,DET,1536.634268,1546.997939,0.577986204,52,38,1
10/15/2017,2017,0,0,NYJ,NE,1470.433716,1659.702856,0.328417617,17,24,0
10/15/2017,2017,0,0,HOU,CLE,1486.922322,1280.533084,0.826674835,33,17,1
10/15/2017,2017,0,0,WSH,SF,1516.306558,1307.988466,0.828260001,26,24,1
10/15/2017,2017,0,0,MIN,GB,1512.966143,1618.519027,0.4419033,23,10,1
10/15/2017,2017,0,0,BAL,CHI,1498.08915,1370.889595,0.751455404,24,27,0
10/15/2017,2017,0,0,ATL,MIA,1626.696948,1475.787722,0.776063777,17,20,0
10/15/2017,2017,0,0,JAX,LAR,1494.217278,1442.233089,0.662267441,17,27,0
10/15/2017,2017,0,0,ARI,TB,1483.637492,1489.507371,0.584282908,38,33,1
10/15/2017,2017,0,0,OAK,LAC,1487.199923,1424.050103,0.676490442,16,17,0
10/15/2017,2017,0,0,KC,PIT,1700.616875,1558.405569,0.767242211,13,19,0
10/15/2017,2017,0,0,DEN,NYG,1577.5481,1436.806581,0.765727857,10,23,0
10/16/2017,2017,0,0,TEN,IND,1445.748575,1449.143629,0.587739059,36,22,1
10/19/2017,2017,0,0,OAK,KC,1477.241709,1667.65236,0.326969943,31,30,1
10/22/2017,2017,0,0,MIA,NYJ,1499.64627,1457.505475,0.64947948,31,28,1
10/22/2017,2017,0,0,MIN,BAL,1542.976308,1475.259944,0.682216518,24,16,1
10/22/2017,2017,0,0,IND,JAX,1427.423379,1460.672593,0.545566277,0,27,0
10/22/2017,2017,0,0,GB,NO,1588.508862,1558.937075,0.632835134,17,26,0
10/22/2017,2017,0,0,CLE,TEN,1271.790246,1467.468825,0.320332025,9,12,0
10/22/2017,2017,0,0,BUF,TB,1531.070386,1474.99999,0.667508366,30,27,1
10/22/2017,2017,1,0,LAR,ARI,1475.777774,1498.144873,0.467855553,33,0,1
10/22/2017,2017,0,0,CHI,CAR,1393.7188,1533.418436,0.394124978,17,3,1
10/22/2017,2017,0,0,SF,DAL,1304.63195,1539.32006,0.273526544,10,40,0
10/22/2017,2017,0,0,PIT,CIN,1591.370085,1490.562339,0.722012461,29,14,1
10/22/2017,2017,0,0,LAC,DEN,1434.008317,1532.962511,0.451290958,21,0,1
10/22/2017,2017,0,0,NYG,SEA,1481.39217,1574.639654,0.459437936,7,24,0
10/22/2017,2017,0,0,NE,ATL,1672.631096,1602.8384,0.684802086,23,7,1
10/23/2017,2017,0,0,PHI,WSH,1592.744968,1519.663074,0.688874616,34,24,1
10/26/2017,2017,0,0,BAL,MIA,1462.089618,1508.913448,0.526133775,40,0,1
10/29/2017,2017,1,0,CLE,MIN,1263.406731,1556.146634,0.156415211,16,33,0
10/29/2017,2017,0,0,BUF,OAK,1539.808155,1487.135904,0.663152781,34,14,1
10/29/2017,2017,0,0,CIN,IND,1476.227791,1390.53219,0.704219737,24,23,1
10/29/2017,2017,0,0,NO,CHI,1589.389264,1427.686968,0.786675829,20,12,1
10/29/2017,2017,0,0,PHI,SF,1606.784694,1287.191422,0.901490529,33,10,1
10/29/2017,2017,0,0,NYJ,ATL,1448.238298,1586.009065,0.396779471,20,25,0
10/29/2017,2017,0,0,NE,LAC,1689.460431,1468.461721,0.838395902,21,13,1
10/29/2017,2017,0,0,TB,CAR,1466.262221,1499.450268,0.545653571,3,17,0
10/29/2017,2017,0,0,SEA,HOU,1600.861896,1495.66516,0.727054871,41,38,1
10/29/2017,2017,0,0,WSH,DAL,1505.623348,1556.760588,0.519939535,19,33,0
10/29/2017,2017,0,0,DET,PIT,1524.695131,1605.704633,0.476976768,15,20,0
10/30/2017,2017,0,0,KC,DEN,1657.758165,1498.509108,0.784296328,29,19,1
11/2/2017,2017,0,0,NYJ,BUF,1434.474891,1559.277565,0.414777019,34,21,1
11/5/2017,2017,0,0,NYG,LAR,1455.169928,1513.693926,0.509318637,17,51,0
11/5/2017,2017,0,0,HOU,IND,1488.640924,1386.694668,0.72332596,14,20,0
11/5/2017,2017,0,0,JAX,CIN,1497.563781,1480.065313,0.61654271,23,7,1
11/5/2017,2017,0,0,TEN,BAL,1475.852339,1496.995953,0.56278132,23,20,1
11/5/2017,2017,0,0,PHI,DEN,1612.114356,1489.121322,0.746905341,51,23,1
11/5/2017,2017,0,0,NO,TB,1597.887929,1436.275468,0.786589032,30,10,1
11/5/2017,2017,0,0,CAR,ATL,1529.437022,1599.772472,0.492322273,20,17,1
11/5/2017,2017,0,0,SF,ARI,1281.86176,1460.228721,0.342405519,10,20,0
